path,speaker,text
CDSD/ASR-TTS/01/S001F002P000W00010-锻炼强健的体魄.wav,01,锻炼强健的体魄
CDSD/ASR-TTS/01/S001F011P000W00002-做做笔记.wav,01,做做笔记
CDSD/ASR-TTS/01/S001F011P000W00004-就这样坚持了下来.wav,01,就这样坚持了下来
CDSD/ASR-TTS/01/S001F011P000W00007-也不再沾满灰尘.wav,01,也不再沾满灰尘
CDSD/ASR-TTS/01/S001F011P000W00024-指导我的教育.wav,01,指导我的教育
CDSD/ASR-TTS/01/S001F013P000W00001-知之者.wav,01,知之者
CDSD/ASR-TTS/01/S001F014P000W00011-使人有内涵.wav,01,使人有内涵
CDSD/ASR-TTS/01/S001F015P000W00019-宛如由银子砌成.wav,01,宛如由银子砌成
CDSD/ASR-TTS/01/S001F016P000W00017-和切身利益.wav,01,和切身利益
CDSD/ASR-TTS/01/S001F016P000W00046-自觉做到知法.wav,01,自觉做到知法
CDSD/ASR-TTS/06/S006F001P000W00009-我们的汗水.wav,06,我们的汗水
CDSD/ASR-TTS/06/S006F001P000W00012-手握着.wav,06,手握着
CDSD/ASR-TTS/06/S006F001P000W00030-怀疑的目光.wav,06,怀疑的目光
CDSD/ASR-TTS/06/S006F001P000W00075-声声祝福.wav,06,声声祝福
CDSD/ASR-TTS/06/S006F001P000W00083-我的愿望.wav,06,我的愿望
CDSD/ASR-TTS/06/S006F002P000W00049-可爱的同学.wav,06,可爱的同学
CDSD/ASR-TTS/06/S006F002P000W00096-的学习路.wav,06,的学习路
CDSD/ASR-TTS/06/S006F003P000W00006-但有一些人.wav,06,但有一些人
CDSD/ASR-TTS/06/S006F003P000W00075-我立即.wav,06,我立即
CDSD/ASR-TTS/06/S006F003P000W00078-扔进指定.wav,06,扔进指定
CDSD/ASR-TTS/15/S015F001P000W00000-而哈萨克斯坦.wav,15,而哈萨克斯坦
CDSD/ASR-TTS/15/S015F001P000W00034-演技也日渐精.wav,15,演技也日渐精
CDSD/ASR-TTS/15/S015F001P000W00076-八月十七日.wav,15,八月十七日
CDSD/ASR-TTS/15/S015F001P000W00087-鉴定相印证.wav,15,鉴定相印证
CDSD/ASR-TTS/15/S015F001P000W00128-命案现场.wav,15,命案现场
CDSD/ASR-TTS/15/S015F001P000W00204-杀害女童凶手.wav,15,杀害女童凶手
CDSD/ASR-TTS/15/S015F002P000W00056-有轻微下调.wav,15,有轻微下调
CDSD/ASR-TTS/15/S015F002P000W00090-行政化.wav,15,行政化
CDSD/ASR-TTS/15/S015F002P000W00162-主要有六项.wav,15,主要有六项
CDSD/ASR-TTS/15/S015F002P000W00289-实行全口径.wav,15,实行全口径
CDSD/ASR-TTS/18/S018F010P000W00169-我们是这样说的.wav,18,我们是这样说的
CDSD/ASR-TTS/18/S018F010P000W00208-绿草如茵.wav,18,绿草如茵
CDSD/ASR-TTS/18/S018F010P000W00218-做到以下几点.wav,18,做到以下几点
CDSD/ASR-TTS/18/S018F011P000W00027-在不断地破坏.wav,18,在不断地破坏
CDSD/ASR-TTS/18/S018F011P000W00075-垃圾箱里.wav,18,垃圾箱里
CDSD/ASR-TTS/18/S018F011P000W00082-我想塑料袋.wav,18,我想塑料袋
CDSD/ASR-TTS/18/S018F011P000W00097-我希望大家.wav,18,我希望大家
CDSD/ASR-TTS/18/S018F011P000W00298-这锦绣山河.wav,18,这锦绣山河
CDSD/ASR-TTS/18/S018F012P000W00042-记录了.wav,18,记录了
CDSD/ASR-TTS/18/S018F012P000W00205-将别人绊倒.wav,18,将别人绊倒
CDSD/ASR-TTS/20/S020F001P000W00022-供应十宗.wav,20,供应十宗
CDSD/ASR-TTS/20/S020F001P000W00032-楼市升温.wav,20,楼市升温
